region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
PE-Limoeiro,2020-06-11,nowcast,1,0.6,1.3,0.8,1.1,0.52
PE-Limoeiro,2020-06-12,nowcast,1,0.6,1.4,0.8,1.1,0.53
PE-Limoeiro,2020-06-13,nowcast,1,0.6,1.4,0.9,1.1,0.44
PE-Limoeiro,2020-06-14,nowcast,1,0.6,1.5,0.9,1.1,0.47
PE-Limoeiro,2020-06-15,nowcast,1,0.6,1.5,0.8,1.1,0.49
PE-Limoeiro,2020-06-16,nowcast,1,0.6,1.4,0.8,1.1,0.45
PE-Limoeiro,2020-06-17,nowcast,1,0.6,1.4,0.9,1.2,0.45
PE-Limoeiro,2020-06-18,nowcast,1,0.6,1.5,0.8,1.1,0.54
PE-Limoeiro,2020-06-19,nowcast,1,0.6,1.4,0.8,1.1,0.55
PE-Limoeiro,2020-06-20,nowcast,1,0.7,1.5,0.9,1.1,0.47
PE-Limoeiro,2020-06-21,nowcast,1,0.6,1.3,0.9,1.1,0.52
PE-Limoeiro,2020-06-22,nowcast,1,0.6,1.4,0.8,1.1,0.5
PE-Limoeiro,2020-06-23,nowcast,1,0.7,1.4,0.9,1.2,0.51
PE-Limoeiro,2020-06-24,nowcast,1,0.6,1.5,0.9,1.2,0.46
PE-Limoeiro,2020-06-25,nowcast,1,0.6,1.5,0.8,1.1,0.48
PE-Limoeiro,2020-06-26,nowcast,1,0.6,1.4,0.9,1.2,0.44
PE-Limoeiro,2020-06-27,nowcast,1.1,0.6,1.4,0.9,1.2,0.4
PE-Limoeiro,2020-06-28,nowcast,1.1,0.6,1.5,0.9,1.2,0.4
PE-Limoeiro,2020-06-29,nowcast,1.1,0.7,1.5,0.9,1.2,0.36
PE-Limoeiro,2020-06-30,nowcast,1.1,0.6,1.6,0.9,1.2,0.35
PE-Limoeiro,2020-07-01,nowcast,1.1,0.6,1.5,0.8,1.1,0.42
PE-Limoeiro,2020-07-02,nowcast,1.1,0.6,1.4,0.9,1.2,0.37
PE-Limoeiro,2020-07-03,nowcast,1,0.6,1.4,0.8,1.1,0.5
PE-Limoeiro,2020-07-04,nowcast,1,0.6,1.4,0.8,1.2,0.48
PE-Limoeiro,2020-07-05,nowcast,1,0.6,1.3,0.8,1.1,0.55
PE-Limoeiro,2020-07-06,nowcast,1,0.6,1.3,0.9,1.1,0.58
PE-Limoeiro,2020-07-07,nowcast,0.9,0.5,1.3,0.8,1.1,0.64
PE-Limoeiro,2020-07-08,nowcast,0.9,0.6,1.2,0.7,1,0.71
PE-Limoeiro,2020-07-09,nowcast,0.9,0.6,1.3,0.7,1,0.71
PE-Limoeiro,2020-07-10,nowcast,0.9,0.5,1.3,0.8,1.1,0.69
PE-Limoeiro,2020-07-11,nowcast,0.9,0.5,1.3,0.8,1,0.68
PE-Limoeiro,2020-07-12,nowcast,0.9,0.6,1.5,0.8,1.1,0.62
PE-Limoeiro,2020-07-13,nowcast,1,0.6,1.5,0.8,1.1,0.54
PE-Limoeiro,2020-07-14,nowcast,1,0.6,1.5,0.8,1.1,0.5
PE-Limoeiro,2020-07-15,nowcast,1,0.6,1.4,0.8,1.1,0.44
PE-Limoeiro,2020-07-16,nowcast,1,0.6,1.4,0.9,1.2,0.48
PE-Limoeiro,2020-07-17,nowcast,1.1,0.7,1.6,0.9,1.2,0.33
PE-Limoeiro,2020-07-18,nowcast,1.1,0.7,1.6,0.8,1.2,0.39
PE-Limoeiro,2020-07-19,nowcast,1.1,0.7,1.6,0.9,1.3,0.31
PE-Limoeiro,2020-07-20,nowcast,1.1,0.8,1.6,0.9,1.3,0.32
PE-Limoeiro,2020-07-21,nowcast,1.1,0.8,1.6,0.9,1.2,0.34
PE-Limoeiro,2020-07-22,nowcast,1.1,0.7,1.4,0.9,1.2,0.41
PE-Limoeiro,2020-07-23,nowcast,1.1,0.7,1.5,0.9,1.2,0.4
PE-Limoeiro,2020-07-24,nowcast,1,0.6,1.5,0.9,1.2,0.45
PE-Limoeiro,2020-07-25,nowcast,1,0.6,1.4,0.8,1.1,0.54
PE-Limoeiro,2020-07-26,nowcast,1,0.5,1.3,0.9,1.1,0.58
PE-Limoeiro,2020-07-27,nowcast,0.9,0.5,1.3,0.8,1.1,0.63
PE-Limoeiro,2020-07-28,nowcast,1,0.6,1.4,0.8,1.1,0.53
PE-Limoeiro,2020-07-29,nowcast,1,0.6,1.4,0.8,1.1,0.55
PE-Limoeiro,2020-07-30,nowcast,1,0.6,1.5,0.8,1.1,0.49
PE-Limoeiro,2020-07-31,nowcast,1,0.6,1.4,0.9,1.2,0.43
PE-Limoeiro,2020-08-01,nowcast,1,0.6,1.5,0.9,1.2,0.41
PE-Limoeiro,2020-08-02,nowcast,1.1,0.7,1.5,0.9,1.2,0.36
PE-Limoeiro,2020-08-03,nowcast,1.1,0.6,1.5,0.9,1.2,0.37
PE-Limoeiro,2020-08-04,nowcast,1.1,0.7,1.7,0.9,1.2,0.35
PE-Limoeiro,2020-08-05,nowcast,1.1,0.7,1.5,0.9,1.2,0.35
PE-Limoeiro,2020-08-06,nowcast,1.1,0.7,1.7,0.9,1.2,0.33
PE-Limoeiro,2020-08-07,nowcast,1.1,0.7,1.5,1,1.3,0.3
PE-Limoeiro,2020-08-08,nowcast,1.1,0.8,1.5,0.9,1.2,0.27
PE-Limoeiro,2020-08-09,nowcast,1.1,0.7,1.5,1,1.3,0.28
PE-Limoeiro,2020-08-10,nowcast,1.2,0.7,1.6,1,1.3,0.25
PE-Limoeiro,2020-08-11,forecast,1.2,0.6,1.6,1,1.4,0.31
PE-Limoeiro,2020-08-12,forecast,1.1,0.6,1.7,0.9,1.4,0.34
PE-Limoeiro,2020-08-13,forecast,1.1,0.6,1.7,1,1.4,0.32
PE-Limoeiro,2020-08-14,forecast,1.1,0.5,1.7,1,1.4,0.33
PE-Limoeiro,2020-08-15,forecast,1.1,0.5,1.8,0.8,1.3,0.34
PE-Limoeiro,2020-08-16,forecast,1.1,0.5,1.9,0.9,1.4,0.33
PE-Limoeiro,2020-08-17,forecast,1.1,0.4,1.8,0.8,1.3,0.37
PE-Limoeiro,2020-08-18,forecast,1.2,0.4,1.9,0.8,1.4,0.34
PE-Limoeiro,2020-08-19,forecast,1.2,0.3,1.9,0.8,1.4,0.36
PE-Limoeiro,2020-08-20,forecast,1.2,0.4,1.9,0.8,1.4,0.35
PE-Limoeiro,2020-08-21,forecast,1.1,0.3,1.9,0.8,1.4,0.4
PE-Limoeiro,2020-08-22,forecast,1.2,0.4,2.2,0.9,1.5,0.34
PE-Limoeiro,2020-08-23,forecast,1.2,0.2,2,0.9,1.5,0.37
PE-Limoeiro,2020-08-24,forecast,1.2,0.3,2.2,0.8,1.5,0.38
PE-Olinda,2020-04-07,nowcast,1.3,1,1.6,1.1,1.4,0.03
PE-Olinda,2020-04-08,nowcast,1.3,1,1.6,1.2,1.4,0.06
PE-Olinda,2020-04-09,nowcast,1.3,1,1.5,1.1,1.4,0.06
PE-Olinda,2020-04-10,nowcast,1.2,0.9,1.5,1.1,1.3,0.08
PE-Olinda,2020-04-11,nowcast,1.2,1,1.5,1.1,1.3,0.06
PE-Olinda,2020-04-12,nowcast,1.2,1,1.5,1.2,1.3,0.07
PE-Olinda,2020-04-13,nowcast,1.2,0.9,1.4,1.1,1.3,0.09
PE-Olinda,2020-04-14,nowcast,1.2,1,1.4,1.1,1.3,0.06
PE-Olinda,2020-04-15,nowcast,1.2,1,1.5,1.1,1.3,0.09
PE-Olinda,2020-04-16,nowcast,1.2,1,1.4,1.1,1.2,0.08
PE-Olinda,2020-04-17,nowcast,1.2,1,1.4,1.1,1.3,0.05
PE-Olinda,2020-04-18,nowcast,1.2,1,1.4,1.1,1.3,0.07
PE-Olinda,2020-04-19,nowcast,1.2,1,1.4,1.1,1.3,0.07
PE-Olinda,2020-04-20,nowcast,1.2,1,1.4,1.1,1.3,0.05
PE-Olinda,2020-04-21,nowcast,1.2,1,1.4,1.1,1.2,0.05
PE-Olinda,2020-04-22,nowcast,1.2,1,1.3,1.1,1.3,0.08
PE-Olinda,2020-04-23,nowcast,1.2,0.9,1.3,1.1,1.2,0.1
PE-Olinda,2020-04-24,nowcast,1.1,1,1.4,1.1,1.2,0.12
PE-Olinda,2020-04-25,nowcast,1.1,0.9,1.3,1.1,1.2,0.14
PE-Olinda,2020-04-26,nowcast,1.1,0.9,1.3,1,1.1,0.2
PE-Olinda,2020-04-27,nowcast,1.1,0.9,1.3,1,1.1,0.23
PE-Olinda,2020-04-28,nowcast,1.1,0.9,1.2,1,1.1,0.23
PE-Olinda,2020-04-29,nowcast,1.1,0.9,1.2,1,1.1,0.29
PE-Olinda,2020-04-30,nowcast,1.1,0.9,1.2,1,1.1,0.27
PE-Olinda,2020-05-01,nowcast,1.1,0.9,1.2,1,1.1,0.3
PE-Olinda,2020-05-02,nowcast,1.1,0.9,1.2,1,1.1,0.24
PE-Olinda,2020-05-03,nowcast,1.1,0.9,1.3,1,1.1,0.25
PE-Olinda,2020-05-04,nowcast,1,0.9,1.2,1,1.1,0.31
PE-Olinda,2020-05-05,nowcast,1,0.9,1.2,1,1.1,0.26
PE-Olinda,2020-05-06,nowcast,1,0.9,1.2,1,1.1,0.38
PE-Olinda,2020-05-07,nowcast,1,0.8,1.2,1,1.1,0.41
PE-Olinda,2020-05-08,nowcast,1,0.9,1.1,1,1.1,0.41
PE-Olinda,2020-05-09,nowcast,1,0.9,1.1,1,1.1,0.43
PE-Olinda,2020-05-10,nowcast,1,0.8,1.2,1,1.1,0.41
PE-Olinda,2020-05-11,nowcast,1,0.8,1.2,1,1.1,0.38
PE-Olinda,2020-05-12,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Olinda,2020-05-13,nowcast,1,0.9,1.2,1,1.1,0.38
PE-Olinda,2020-05-14,nowcast,1,0.8,1.1,1,1.1,0.42
PE-Olinda,2020-05-15,nowcast,1,0.8,1.2,0.9,1.1,0.51
PE-Olinda,2020-05-16,nowcast,1,0.8,1.1,0.9,1,0.64
PE-Olinda,2020-05-17,nowcast,0.9,0.8,1.1,0.9,1,0.73
PE-Olinda,2020-05-18,nowcast,0.9,0.8,1.1,0.9,1,0.84
PE-Olinda,2020-05-19,nowcast,0.9,0.7,1,0.9,1,0.86
PE-Olinda,2020-05-20,nowcast,0.9,0.7,1,0.8,0.9,0.91
PE-Olinda,2020-05-21,nowcast,0.9,0.7,1,0.8,0.9,0.96
PE-Olinda,2020-05-22,nowcast,0.9,0.7,1,0.8,0.9,0.92
PE-Olinda,2020-05-23,nowcast,0.9,0.7,1,0.8,0.9,0.88
PE-Olinda,2020-05-24,nowcast,0.9,0.7,1.1,0.8,0.9,0.86
PE-Olinda,2020-05-25,nowcast,0.9,0.7,1.1,0.8,0.9,0.82
PE-Olinda,2020-05-26,nowcast,0.9,0.8,1.1,0.8,1,0.84
PE-Olinda,2020-05-27,nowcast,0.9,0.7,1.1,0.9,1,0.84
PE-Olinda,2020-05-28,nowcast,0.9,0.7,1.1,0.8,0.9,0.84
PE-Olinda,2020-05-29,nowcast,0.9,0.7,1.1,0.8,0.9,0.87
PE-Olinda,2020-05-30,nowcast,0.9,0.8,1.1,0.8,1,0.82
PE-Olinda,2020-05-31,nowcast,0.9,0.7,1.1,0.8,1,0.8
PE-Olinda,2020-06-01,nowcast,0.9,0.7,1.1,0.8,0.9,0.83
PE-Olinda,2020-06-02,nowcast,0.9,0.7,1.1,0.8,1,0.88
PE-Olinda,2020-06-03,nowcast,0.9,0.7,1.1,0.8,1,0.8
PE-Olinda,2020-06-04,nowcast,0.9,0.7,1.1,0.8,1,0.79
PE-Olinda,2020-06-05,nowcast,0.9,0.7,1.1,0.9,1,0.77
PE-Olinda,2020-06-06,nowcast,0.9,0.8,1.1,0.9,1,0.71
PE-Olinda,2020-06-07,nowcast,1,0.8,1.1,0.9,1,0.65
PE-Olinda,2020-06-08,nowcast,1,0.8,1.2,0.9,1.1,0.59
PE-Olinda,2020-06-09,nowcast,1,0.8,1.2,0.9,1,0.5
PE-Olinda,2020-06-10,nowcast,1,0.8,1.2,0.9,1.1,0.42
PE-Olinda,2020-06-11,nowcast,1,0.8,1.3,1,1.1,0.38
PE-Olinda,2020-06-12,nowcast,1,0.9,1.3,1,1.1,0.35
PE-Olinda,2020-06-13,nowcast,1.1,0.9,1.3,1,1.1,0.31
PE-Olinda,2020-06-14,nowcast,1.1,0.9,1.3,1,1.1,0.21
PE-Olinda,2020-06-15,nowcast,1.1,0.9,1.3,1,1.1,0.29
PE-Olinda,2020-06-16,nowcast,1.1,0.9,1.2,1,1.1,0.32
PE-Olinda,2020-06-17,nowcast,1,0.8,1.2,1,1.1,0.46
PE-Olinda,2020-06-18,nowcast,1,0.8,1.2,0.9,1.1,0.53
PE-Olinda,2020-06-19,nowcast,0.9,0.7,1.1,0.9,1.1,0.66
PE-Olinda,2020-06-20,nowcast,0.9,0.7,1.1,0.9,1,0.73
PE-Olinda,2020-06-21,nowcast,0.9,0.8,1.1,0.9,1,0.71
PE-Olinda,2020-06-22,nowcast,1,0.8,1.2,0.9,1,0.66
PE-Olinda,2020-06-23,nowcast,1,0.8,1.2,0.8,1,0.66
PE-Olinda,2020-06-24,nowcast,0.9,0.8,1.1,0.9,1,0.71
PE-Olinda,2020-06-25,nowcast,1,0.8,1.2,0.9,1,0.66
PE-Olinda,2020-06-26,nowcast,1,0.7,1.2,0.9,1,0.65
PE-Olinda,2020-06-27,nowcast,1,0.8,1.1,0.9,1,0.63
PE-Olinda,2020-06-28,nowcast,1,0.8,1.2,0.9,1.1,0.47
PE-Olinda,2020-06-29,nowcast,1,0.8,1.2,0.9,1,0.53
PE-Olinda,2020-06-30,nowcast,1,0.8,1.2,0.9,1.1,0.52
PE-Olinda,2020-07-01,nowcast,1,0.8,1.2,0.9,1.1,0.49
PE-Olinda,2020-07-02,nowcast,1,0.8,1.2,0.9,1.1,0.51
PE-Olinda,2020-07-03,nowcast,1,0.9,1.2,0.9,1.1,0.46
PE-Olinda,2020-07-04,nowcast,1,0.8,1.3,0.9,1.1,0.41
PE-Olinda,2020-07-05,nowcast,1,0.8,1.2,0.9,1.1,0.34
PE-Olinda,2020-07-06,nowcast,1,0.8,1.3,0.9,1.1,0.37
PE-Olinda,2020-07-07,nowcast,1,0.9,1.3,0.9,1.1,0.39
PE-Olinda,2020-07-08,nowcast,1,0.8,1.2,0.9,1.1,0.47
PE-Olinda,2020-07-09,nowcast,1,0.8,1.2,0.9,1.1,0.52
PE-Olinda,2020-07-10,nowcast,1,0.8,1.2,0.9,1.1,0.61
PE-Olinda,2020-07-11,nowcast,1,0.7,1.1,0.9,1,0.65
PE-Olinda,2020-07-12,nowcast,1,0.7,1.2,0.9,1,0.63
PE-Olinda,2020-07-13,nowcast,0.9,0.8,1.1,0.9,1,0.7
PE-Olinda,2020-07-14,nowcast,1,0.8,1.2,0.9,1,0.64
PE-Olinda,2020-07-15,nowcast,1,0.8,1.1,0.9,1,0.66
PE-Olinda,2020-07-16,nowcast,0.9,0.7,1.1,0.9,1,0.7
PE-Olinda,2020-07-17,nowcast,0.9,0.8,1.2,0.9,1,0.67
PE-Olinda,2020-07-18,nowcast,1,0.8,1.2,0.9,1.1,0.59
PE-Olinda,2020-07-19,nowcast,1,0.8,1.2,0.9,1,0.61
PE-Olinda,2020-07-20,nowcast,1,0.7,1.2,0.9,1,0.59
PE-Olinda,2020-07-21,nowcast,1,0.8,1.2,0.9,1,0.55
PE-Olinda,2020-07-22,nowcast,1,0.8,1.2,0.9,1.1,0.61
PE-Olinda,2020-07-23,nowcast,0.9,0.7,1.1,0.9,1,0.66
PE-Olinda,2020-07-24,nowcast,0.9,0.7,1.1,0.9,1,0.75
PE-Olinda,2020-07-25,nowcast,0.9,0.7,1.1,0.9,1,0.72
PE-Olinda,2020-07-26,nowcast,0.9,0.7,1.1,0.9,1,0.7
PE-Olinda,2020-07-27,nowcast,0.9,0.7,1.1,0.9,1,0.73
PE-Olinda,2020-07-28,nowcast,0.9,0.7,1.1,0.8,1,0.77
PE-Olinda,2020-07-29,nowcast,0.9,0.7,1.1,0.8,1,0.78
PE-Olinda,2020-07-30,nowcast,0.9,0.7,1.1,0.8,1,0.78
PE-Olinda,2020-07-31,nowcast,0.9,0.7,1.1,0.8,0.9,0.82
PE-Olinda,2020-08-01,nowcast,0.9,0.7,1.2,0.8,1,0.8
PE-Olinda,2020-08-02,nowcast,0.9,0.7,1.2,0.8,1,0.73
PE-Olinda,2020-08-03,nowcast,0.9,0.7,1.2,0.8,1,0.67
PE-Olinda,2020-08-04,nowcast,0.9,0.7,1.1,0.8,1,0.69
PE-Olinda,2020-08-05,nowcast,1,0.8,1.3,0.8,1,0.64
PE-Olinda,2020-08-06,nowcast,1,0.8,1.3,0.9,1.1,0.53
PE-Olinda,2020-08-07,nowcast,1,0.8,1.3,0.9,1.1,0.45
PE-Olinda,2020-08-08,nowcast,1.1,0.8,1.3,1,1.2,0.34
PE-Olinda,2020-08-09,nowcast,1,0.8,1.4,0.9,1.1,0.38
PE-Olinda,2020-08-10,nowcast,1.1,0.8,1.3,1,1.2,0.32
PE-Olinda,2020-08-11,forecast,1.1,0.8,1.3,0.9,1.2,0.38
PE-Olinda,2020-08-12,forecast,1.1,0.7,1.4,0.9,1.2,0.4
PE-Olinda,2020-08-13,forecast,1.1,0.7,1.4,0.9,1.2,0.4
PE-Olinda,2020-08-14,forecast,1,0.6,1.4,0.8,1.1,0.4
PE-Olinda,2020-08-15,forecast,1,0.7,1.5,0.9,1.2,0.42
PE-Olinda,2020-08-16,forecast,1,0.6,1.4,0.9,1.2,0.42
PE-Olinda,2020-08-17,forecast,1,0.6,1.5,0.9,1.2,0.43
PE-Olinda,2020-08-18,forecast,1,0.6,1.5,0.8,1.2,0.43
PE-Olinda,2020-08-19,forecast,1,0.6,1.5,0.9,1.2,0.42
PE-Olinda,2020-08-20,forecast,1.1,0.6,1.5,0.9,1.3,0.4
PE-Olinda,2020-08-21,forecast,1,0.6,1.5,0.8,1.1,0.46
PE-Olinda,2020-08-22,forecast,1,0.6,1.6,0.8,1.2,0.45
PE-Olinda,2020-08-23,forecast,1.1,0.6,1.6,0.8,1.2,0.45
PE-Olinda,2020-08-24,forecast,1,0.6,1.8,0.9,1.3,0.46
PE-Ouricuri,2020-06-06,nowcast,1,0.3,1.8,0.6,1.2,0.51
PE-Ouricuri,2020-06-07,nowcast,1,0.2,1.7,0.6,1.2,0.49
PE-Ouricuri,2020-06-08,nowcast,1,0.2,1.7,0.7,1.2,0.45
PE-Ouricuri,2020-06-09,nowcast,1,0.3,1.9,0.7,1.2,0.49
PE-Ouricuri,2020-06-10,nowcast,1,0.2,1.9,0.6,1.2,0.46
PE-Ouricuri,2020-06-11,nowcast,1.1,0.3,2.1,0.8,1.5,0.39
PE-Ouricuri,2020-06-12,nowcast,1.1,0.3,2,0.6,1.2,0.38
PE-Ouricuri,2020-06-13,nowcast,1.1,0.3,2,0.8,1.4,0.38
PE-Ouricuri,2020-06-14,nowcast,1.2,0.4,2,0.9,1.5,0.35
PE-Ouricuri,2020-06-15,nowcast,1.2,0.5,2.2,0.9,1.5,0.31
PE-Ouricuri,2020-06-16,nowcast,1.2,0.4,2.2,0.8,1.4,0.33
PE-Ouricuri,2020-06-17,nowcast,1.2,0.5,2.1,0.9,1.4,0.33
PE-Ouricuri,2020-06-18,nowcast,1.2,0.4,2.1,0.8,1.4,0.32
PE-Ouricuri,2020-06-19,nowcast,1.2,0.5,2.2,0.8,1.4,0.31
PE-Ouricuri,2020-06-20,nowcast,1.2,0.5,2.1,0.7,1.3,0.35
PE-Ouricuri,2020-06-21,nowcast,1.2,0.4,2.1,0.9,1.4,0.3
PE-Ouricuri,2020-06-22,nowcast,1.2,0.5,1.9,0.9,1.5,0.26
PE-Ouricuri,2020-06-23,nowcast,1.2,0.6,2,0.9,1.4,0.28
PE-Ouricuri,2020-06-24,nowcast,1.2,0.6,2.1,0.9,1.5,0.27
PE-Ouricuri,2020-06-25,nowcast,1.2,0.4,2,0.9,1.4,0.31
PE-Ouricuri,2020-06-26,nowcast,1.2,0.5,2,1,1.5,0.3
PE-Ouricuri,2020-06-27,nowcast,1.2,0.5,1.8,0.9,1.4,0.32
PE-Ouricuri,2020-06-28,nowcast,1.1,0.6,1.8,0.8,1.3,0.33
PE-Ouricuri,2020-06-29,nowcast,1.2,0.7,1.7,1,1.4,0.25
PE-Ouricuri,2020-06-30,nowcast,1.1,0.6,1.7,0.8,1.3,0.37
PE-Ouricuri,2020-07-01,nowcast,1.1,0.7,1.8,0.9,1.4,0.34
PE-Ouricuri,2020-07-02,nowcast,1.2,0.6,1.7,0.9,1.3,0.3
PE-Ouricuri,2020-07-03,nowcast,1.1,0.6,1.8,0.9,1.4,0.36
PE-Ouricuri,2020-07-04,nowcast,1.2,0.5,1.7,0.8,1.3,0.3
PE-Ouricuri,2020-07-05,nowcast,1.1,0.6,1.7,0.9,1.3,0.34
PE-Ouricuri,2020-07-06,nowcast,1.1,0.6,1.7,0.9,1.3,0.33
PE-Ouricuri,2020-07-07,nowcast,1.1,0.6,1.7,0.8,1.2,0.35
PE-Ouricuri,2020-07-08,nowcast,1.1,0.6,1.7,1,1.4,0.33
PE-Ouricuri,2020-07-09,nowcast,1.1,0.6,1.7,0.8,1.2,0.35
PE-Ouricuri,2020-07-10,nowcast,1.1,0.5,1.6,0.8,1.2,0.36
PE-Ouricuri,2020-07-11,nowcast,1.1,0.6,1.8,0.8,1.2,0.34
PE-Ouricuri,2020-07-12,nowcast,1.2,0.7,1.8,0.9,1.3,0.33
PE-Ouricuri,2020-07-13,nowcast,1.1,0.7,1.6,0.9,1.3,0.34
PE-Ouricuri,2020-07-14,nowcast,1.1,0.5,1.6,0.9,1.2,0.35
PE-Ouricuri,2020-07-15,nowcast,1.1,0.7,1.6,0.9,1.2,0.36
PE-Ouricuri,2020-07-16,nowcast,1.1,0.6,1.6,0.8,1.2,0.35
PE-Ouricuri,2020-07-17,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
PE-Ouricuri,2020-07-18,nowcast,1.1,0.7,1.6,0.9,1.2,0.36
PE-Ouricuri,2020-07-19,nowcast,1.1,0.7,1.6,1,1.3,0.32
PE-Ouricuri,2020-07-20,nowcast,1.1,0.6,1.5,0.8,1.2,0.34
PE-Ouricuri,2020-07-21,nowcast,1.1,0.5,1.5,0.9,1.3,0.43
PE-Ouricuri,2020-07-22,nowcast,1,0.5,1.4,0.8,1.2,0.52
PE-Ouricuri,2020-07-23,nowcast,1,0.5,1.4,0.8,1.1,0.52
PE-Ouricuri,2020-07-24,nowcast,1,0.6,1.4,0.7,1.1,0.56
PE-Ouricuri,2020-07-25,nowcast,1,0.5,1.3,0.8,1.1,0.53
PE-Ouricuri,2020-07-26,nowcast,1,0.6,1.5,0.8,1,0.53
PE-Ouricuri,2020-07-27,nowcast,1,0.5,1.4,0.8,1.1,0.57
PE-Ouricuri,2020-07-28,nowcast,1,0.6,1.5,0.7,1.1,0.54
PE-Ouricuri,2020-07-29,nowcast,0.9,0.5,1.4,0.7,1,0.59
PE-Ouricuri,2020-07-30,nowcast,0.9,0.5,1.5,0.8,1.1,0.59
PE-Ouricuri,2020-07-31,nowcast,1,0.4,1.4,0.8,1.1,0.57
PE-Ouricuri,2020-08-01,nowcast,0.9,0.5,1.5,0.7,1.1,0.63
PE-Ouricuri,2020-08-02,nowcast,0.9,0.4,1.3,0.7,1.1,0.62
PE-Ouricuri,2020-08-03,nowcast,0.9,0.4,1.4,0.6,1,0.63
PE-Ouricuri,2020-08-04,nowcast,0.9,0.5,1.4,0.7,1.1,0.61
PE-Ouricuri,2020-08-05,nowcast,1,0.5,1.4,0.8,1.1,0.54
PE-Ouricuri,2020-08-06,nowcast,1,0.5,1.5,0.8,1.1,0.51
PE-Ouricuri,2020-08-07,nowcast,1,0.6,1.6,0.8,1.1,0.5
PE-Ouricuri,2020-08-08,nowcast,1.1,0.5,1.6,0.8,1.2,0.4
PE-Ouricuri,2020-08-09,nowcast,1.1,0.6,1.8,0.8,1.2,0.38
PE-Ouricuri,2020-08-10,nowcast,1.1,0.6,1.7,0.8,1.2,0.42
PE-Ouricuri,2020-08-11,forecast,1.1,0.5,1.8,0.9,1.4,0.44
PE-Ouricuri,2020-08-12,forecast,1.1,0.4,1.8,0.8,1.3,0.44
PE-Ouricuri,2020-08-13,forecast,1,0.4,1.9,0.7,1.2,0.46
PE-Ouricuri,2020-08-14,forecast,1.1,0.4,1.8,0.8,1.4,0.44
PE-Ouricuri,2020-08-15,forecast,1.1,0.3,1.9,0.8,1.3,0.42
PE-Ouricuri,2020-08-16,forecast,1,0.3,1.9,0.8,1.3,0.48
PE-Ouricuri,2020-08-17,forecast,1.1,0.2,1.9,0.7,1.3,0.44
PE-Ouricuri,2020-08-18,forecast,1,0.2,1.9,0.6,1.2,0.48
PE-Ouricuri,2020-08-19,forecast,1.1,0.3,1.9,0.6,1.3,0.46
PE-Ouricuri,2020-08-20,forecast,1,0,1.8,0.8,1.5,0.46
PE-Ouricuri,2020-08-21,forecast,1.1,0,1.9,0.7,1.3,0.42
PE-Ouricuri,2020-08-22,forecast,1.1,0,1.9,0.7,1.4,0.44
PE-Ouricuri,2020-08-23,forecast,1.1,0,2,0.6,1.4,0.43
PE-Ouricuri,2020-08-24,forecast,1.1,0,2,0.7,1.5,0.42
PE-Paulista,2020-04-09,nowcast,1.3,0.9,1.6,1.1,1.4,0.08
PE-Paulista,2020-04-10,nowcast,1.2,0.9,1.6,1.1,1.4,0.09
PE-Paulista,2020-04-11,nowcast,1.3,1,1.6,1.1,1.3,0.07
PE-Paulista,2020-04-12,nowcast,1.2,0.9,1.5,1.1,1.3,0.11
PE-Paulista,2020-04-13,nowcast,1.2,0.9,1.5,1,1.3,0.13
PE-Paulista,2020-04-14,nowcast,1.2,0.9,1.5,1.1,1.3,0.12
PE-Paulista,2020-04-15,nowcast,1.2,0.9,1.4,1.1,1.3,0.09
PE-Paulista,2020-04-16,nowcast,1.2,0.9,1.4,1.1,1.3,0.07
PE-Paulista,2020-04-17,nowcast,1.2,0.9,1.4,1.1,1.3,0.08
PE-Paulista,2020-04-18,nowcast,1.2,0.9,1.5,1.1,1.3,0.1
PE-Paulista,2020-04-19,nowcast,1.2,1,1.5,1.1,1.3,0.1
PE-Paulista,2020-04-20,nowcast,1.2,1,1.5,1.1,1.3,0.05
PE-Paulista,2020-04-21,nowcast,1.2,1,1.5,1.1,1.3,0.05
PE-Paulista,2020-04-22,nowcast,1.2,0.9,1.4,1.1,1.3,0.1
PE-Paulista,2020-04-23,nowcast,1.2,1,1.5,1.1,1.2,0.1
PE-Paulista,2020-04-24,nowcast,1.1,0.9,1.4,1.1,1.3,0.15
PE-Paulista,2020-04-25,nowcast,1.1,0.9,1.3,1,1.2,0.19
PE-Paulista,2020-04-26,nowcast,1.1,0.9,1.3,1,1.2,0.25
PE-Paulista,2020-04-27,nowcast,1.1,0.9,1.3,1,1.2,0.3
PE-Paulista,2020-04-28,nowcast,1.1,0.8,1.3,1,1.2,0.32
PE-Paulista,2020-04-29,nowcast,1,0.9,1.2,1,1.1,0.31
PE-Paulista,2020-04-30,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Paulista,2020-05-01,nowcast,1.1,0.9,1.3,1,1.1,0.31
PE-Paulista,2020-05-02,nowcast,1.1,0.9,1.3,1,1.1,0.31
PE-Paulista,2020-05-03,nowcast,1.1,0.9,1.3,1,1.1,0.25
PE-Paulista,2020-05-04,nowcast,1.1,0.9,1.3,1,1.2,0.26
PE-Paulista,2020-05-05,nowcast,1.1,0.9,1.3,1,1.2,0.26
PE-Paulista,2020-05-06,nowcast,1.1,0.9,1.2,1,1.1,0.27
